Tiempo (s),Temperatura (°C),Estado Servo
208.64,56.00,Cerrado
209.12,55.75,Cerrado
209.25,55.75,Cerrado
209.46,56.25,Cerrado
209.65,56.25,Cerrado
210.16,56.50,Cerrado
210.29,56.50,Cerrado
210.46,56.50,Cerrado
210.67,56.75,Cerrado
211.17,56.25,Cerrado
211.29,56.25,Cerrado
211.49,57.00,Cerrado
211.68,57.00,Cerrado
212.21,56.75,Cerrado
212.35,56.75,Cerrado
212.51,56.75,Cerrado
212.70,57.25,Cerrado
213.25,57.00,Cerrado
213.37,57.00,Cerrado
213.53,57.00,Cerrado
213.73,57.25,Cerrado
214.27,57.50,Cerrado
214.40,57.50,Cerrado
214.54,57.50,Cerrado
214.75,57.00,Cerrado
215.33,57.75,Cerrado
215.47,57.75,Cerrado
215.61,57.75,Cerrado
215.79,57.75,Cerrado
216.35,58.00,Cerrado
216.48,58.00,Cerrado
216.60,58.00,Cerrado
216.80,58.00,Cerrado
217.39,58.25,Cerrado
217.50,58.25,Cerrado
217.63,58.25,Cerrado
217.82,58.25,Cerrado
218.41,58.50,Cerrado
218.52,58.50,Cerrado
218.67,58.50,Cerrado
218.83,58.50,Cerrado
219.44,58.50,Cerrado
219.64,58.50,Cerrado
219.85,58.75,Cerrado
220.47,58.75,Cerrado
220.67,59.00,Cerrado
220.86,59.00,Cerrado
221.07,58.25,Cerrado
221.26,59.00,Cerrado
221.47,59.25,Cerrado
222.01,59.25,Cerrado
222.15,59.25,Cerrado
222.30,59.25,Cerrado
222.49,59.25,Cerrado
223.05,59.25,Cerrado
223.19,59.25,Cerrado
223.32,59.25,Cerrado
223.50,59.25,Cerrado
224.06,59.50,Cerrado
224.19,59.50,Cerrado
224.31,59.50,Cerrado
224.52,59.50,Cerrado
225.11,60.00,Cerrado
225.23,60.00,Cerrado
225.37,59.75,Cerrado
225.53,59.75,Cerrado
226.14,59.75,Cerrado
226.25,59.75,Cerrado
226.41,60.00,Cerrado
226.55,60.00,Cerrado
227.18,59.75,Cerrado
227.35,60.00,Cerrado
227.56,60.50,Cerrado
228.20,60.00,Cerrado
228.38,60.00,Cerrado
228.58,60.00,Cerrado
228.79,60.25,Cerrado
228.98,60.50,Cerrado
229.19,60.25,Cerrado
229.75,60.75,Cerrado
229.88,60.75,Cerrado
230.20,60.75,Cerrado
230.24,60.75,Cerrado
230.41,60.75,Cerrado
230.61,61.00,Cerrado
230.82,60.50,Cerrado
231.03,61.25,Cerrado
231.22,61.00,Cerrado
231.57,61.25,Cerrado
231.78,60.75,Cerrado
231.99,61.25,Cerrado
232.18,61.50,Cerrado
232.37,61.25,Cerrado
232.58,61.50,Cerrado
232.79,61.50,Cerrado
233.00,61.50,Cerrado
233.20,61.75,Cerrado
233.41,61.50,Cerrado
233.60,61.75,Cerrado
233.81,61.50,Cerrado
234.02,61.50,Cerrado
234.21,61.75,Cerrado
234.40,61.50,Cerrado
234.61,61.50,Cerrado
234.82,62.00,Cerrado
235.03,62.00,Cerrado
235.24,61.75,Cerrado
235.43,61.75,Cerrado
235.64,62.00,Cerrado
235.84,62.25,Cerrado
236.05,62.00,Cerrado
236.24,62.25,Cerrado
236.45,62.00,Cerrado
236.66,62.25,Cerrado
236.85,62.25,Cerrado
237.06,62.25,Cerrado
237.27,62.25,Cerrado
237.46,62.50,Cerrado
237.67,62.50,Cerrado
237.87,62.50,Cerrado
238.07,62.50,Cerrado
238.27,62.75,Cerrado
238.48,62.50,Cerrado
238.69,62.75,Cerrado
238.88,62.75,Cerrado
239.09,62.75,Cerrado
239.30,63.00,Cerrado
239.51,63.00,Cerrado
239.71,62.75,Cerrado
239.89,63.00,Cerrado
240.10,63.00,Cerrado
240.31,62.75,Cerrado
240.51,63.25,Cerrado
240.72,63.25,Cerrado
240.91,63.50,Cerrado
241.12,63.25,Cerrado
241.33,63.75,Cerrado
241.52,63.50,Cerrado
241.73,63.50,Cerrado
241.94,63.75,Cerrado
242.13,63.75,Cerrado
242.34,63.75,Cerrado
242.54,63.50,Cerrado
242.75,63.50,Cerrado
242.96,63.50,Cerrado
243.15,64.00,Cerrado
243.36,64.00,Cerrado
243.57,64.00,Cerrado
243.76,64.00,Cerrado
243.97,64.00,Cerrado
244.18,64.00,Cerrado
244.37,63.75,Cerrado
244.58,63.75,Cerrado
244.78,64.00,Cerrado
244.99,64.00,Cerrado
245.18,64.00,Cerrado
245.39,64.50,Cerrado
245.60,63.75,Cerrado
245.79,64.25,Cerrado
246.00,64.50,Cerrado
246.21,64.75,Cerrado
246.41,64.50,Cerrado
246.61,64.50,Cerrado
246.81,64.50,Cerrado
247.02,64.50,Cerrado
247.21,65.00,Cerrado
247.42,65.00,Cerrado
247.63,65.00,Cerrado
247.84,65.00,Cerrado
248.03,64.75,Cerrado
248.24,64.75,Cerrado
248.45,64.75,Cerrado
248.64,65.00,Cerrado
248.85,65.25,Cerrado
249.05,65.50,Cerrado
249.24,65.50,Cerrado
249.45,65.25,Cerrado
249.64,65.25,Cerrado
249.85,65.50,Cerrado
250.06,65.25,Cerrado
250.27,65.50,Cerrado
250.46,65.75,Cerrado
250.67,65.50,Cerrado
250.88,65.25,Cerrado
251.07,65.75,Cerrado
251.28,65.75,Cerrado
251.48,65.75,Cerrado
251.68,65.75,Cerrado
251.88,65.50,Cerrado
252.09,65.50,Cerrado
252.28,66.00,Cerrado
252.49,65.50,Cerrado
252.70,65.75,Cerrado
252.89,66.00,Cerrado
253.10,66.00,Cerrado
253.31,66.25,Cerrado
253.52,66.25,Cerrado
253.72,66.00,Cerrado
253.91,66.00,Cerrado
254.12,66.25,Cerrado
254.33,66.50,Cerrado
254.52,66.50,Cerrado
254.73,66.50,Cerrado
254.94,66.50,Cerrado
255.15,66.25,Cerrado
255.35,66.75,Cerrado
255.53,66.50,Cerrado
255.75,66.75,Cerrado
255.96,66.75,Cerrado
256.15,66.75,Cerrado
256.36,66.75,Cerrado
256.57,67.00,Cerrado
256.78,67.25,Cerrado
256.99,66.50,Cerrado
257.18,66.75,Cerrado
257.39,67.25,Cerrado
257.59,67.25,Cerrado
257.80,67.25,Cerrado
257.99,67.00,Cerrado
258.20,66.75,Cerrado
258.41,67.50,Cerrado
258.60,67.00,Cerrado
258.81,67.00,Cerrado
259.02,67.25,Cerrado
259.21,67.50,Cerrado
259.42,67.25,Cerrado
259.61,67.25,Cerrado
259.82,67.75,Cerrado
260.02,67.75,Cerrado
260.23,67.25,Cerrado
260.42,67.25,Cerrado
260.63,67.50,Cerrado
260.84,68.00,Cerrado
261.05,68.00,Cerrado
261.26,68.00,Cerrado
261.45,68.25,Cerrado
261.66,68.25,Cerrado
261.86,68.00,Cerrado
262.07,67.75,Cerrado
262.26,68.25,Cerrado
262.47,68.25,Cerrado
262.68,68.00,Cerrado
262.87,68.25,Cerrado
263.06,68.50,Cerrado
263.27,68.50,Cerrado
263.48,68.25,Cerrado
263.69,68.50,Cerrado
263.88,68.50,Cerrado
264.09,68.25,Cerrado
264.29,68.50,Cerrado
264.50,68.50,Cerrado
264.71,68.25,Cerrado
264.90,69.00,Cerrado
265.11,69.00,Cerrado
265.32,69.00,Cerrado
265.53,68.75,Cerrado
265.72,68.50,Cerrado
265.94,68.75,Cerrado
266.15,69.00,Cerrado
266.34,69.25,Cerrado
266.55,69.25,Cerrado
266.76,69.25,Cerrado
266.95,69.25,Cerrado
267.16,69.50,Cerrado
267.36,68.50,Cerrado
267.56,68.75,Cerrado
267.76,69.50,Cerrado
267.97,69.00,Cerrado
268.16,68.50,Cerrado
268.37,69.75,Cerrado
268.56,69.50,Cerrado
268.77,69.25,Cerrado
268.98,69.75,Cerrado
269.19,69.75,Cerrado
269.38,69.00,Cerrado
269.59,69.75,Cerrado
269.80,70.00,Cerrado
269.99,69.75,Cerrado
270.20,70.00,Cerrado
270.40,70.00,Cerrado
270.60,70.00,Cerrado
270.80,70.25,Cerrado
271.01,70.25,Cerrado
271.22,70.00,Cerrado
271.41,70.25,Cerrado
271.62,70.25,Cerrado
271.83,70.25,Cerrado
272.03,70.50,Cerrado
272.23,70.25,Cerrado
272.43,70.00,Cerrado
272.64,70.50,Cerrado
272.85,70.50,Cerrado
273.06,70.25,Cerrado
273.25,70.25,Cerrado
273.46,70.25,Cerrado
273.68,70.75,Cerrado
273.87,70.75,Cerrado
274.08,70.50,Cerrado
274.27,70.75,Cerrado
274.48,70.75,Cerrado
274.69,71.00,Cerrado
274.88,70.50,Cerrado
275.10,70.25,Cerrado
275.30,70.75,Cerrado
275.50,70.75,Cerrado
275.71,71.25,Cerrado
275.91,71.00,Cerrado
276.11,71.00,Cerrado
276.32,71.00,Cerrado
276.51,71.50,Cerrado
276.72,71.50,Cerrado
276.91,71.00,Cerrado
277.12,70.75,Cerrado
277.33,71.50,Cerrado
277.52,71.50,Cerrado
277.73,71.50,Cerrado
277.94,71.50,Cerrado
278.13,71.75,Cerrado
278.34,71.75,Cerrado
278.54,72.00,Cerrado
278.73,72.00,Cerrado
278.94,71.75,Cerrado
279.15,72.00,Cerrado
279.34,72.25,Cerrado
279.55,72.00,Cerrado
279.76,72.00,Cerrado
279.97,72.25,Cerrado
280.16,72.25,Cerrado
280.37,72.25,Cerrado
280.57,72.00,Cerrado
280.77,72.00,Cerrado
280.97,72.50,Cerrado
281.18,72.50,Cerrado
281.39,72.50,Cerrado
281.60,72.25,Cerrado
281.81,72.25,Cerrado
282.00,72.25,Cerrado
282.21,72.25,Cerrado
282.43,72.75,Cerrado
282.62,72.75,Cerrado
282.83,72.00,Cerrado
283.04,72.75,Cerrado
283.25,72.75,Cerrado
283.45,73.00,Cerrado
283.64,73.00,Cerrado
283.85,73.25,Cerrado
284.06,73.25,Cerrado
284.25,72.75,Cerrado
284.48,73.00,Cerrado
284.67,73.25,Cerrado
284.88,72.75,Cerrado
285.08,73.00,Cerrado
285.28,73.25,Cerrado
285.48,73.00,Cerrado
285.69,73.25,Cerrado
285.88,73.50,Cerrado
286.09,73.25,Cerrado
286.30,73.25,Cerrado
286.49,73.50,Cerrado
286.70,73.50,Cerrado
286.91,73.00,Cerrado
287.10,73.50,Cerrado
287.31,73.00,Cerrado
287.52,74.00,Cerrado
287.71,73.75,Cerrado
287.92,74.00,Cerrado
288.12,73.75,Cerrado
288.31,73.50,Cerrado
288.52,74.00,Cerrado
288.73,74.25,Cerrado
288.92,73.75,Cerrado
289.13,74.25,Cerrado
289.34,74.25,Cerrado
289.55,74.25,Cerrado
289.74,74.25,Cerrado
289.95,74.00,Cerrado
290.15,74.25,Cerrado
290.35,74.25,Cerrado
290.55,74.50,Cerrado
290.76,74.00,Cerrado
290.95,74.25,Cerrado
291.16,74.25,Cerrado
291.37,74.25,Cerrado
291.56,74.25,Cerrado
291.77,74.25,Cerrado
291.98,74.75,Cerrado
292.19,74.75,Cerrado
292.38,75.00,Cerrado
292.59,74.50,Cerrado
292.79,74.50,Cerrado
293.00,75.00,Cerrado
293.21,75.00,Cerrado
293.42,74.50,Cerrado
293.61,74.50,Cerrado
293.82,74.75,Cerrado
294.01,75.25,Cerrado
294.22,75.25,Cerrado
294.42,74.75,Cerrado
294.62,75.00,Cerrado
294.82,74.75,Cerrado
295.03,75.25,Cerrado
295.22,75.25,Cerrado
295.43,75.00,Cerrado
295.62,75.50,Cerrado
295.83,75.75,Cerrado
296.04,75.25,Cerrado
296.25,75.50,Cerrado
296.46,75.75,Cerrado
296.66,75.00,Cerrado
296.87,75.50,Cerrado
297.06,75.50,Cerrado
297.27,75.50,Cerrado
297.48,75.75,Cerrado
297.69,75.75,Cerrado
297.88,75.50,Cerrado
298.09,75.75,Cerrado
298.29,75.75,Cerrado
298.50,75.75,Cerrado
298.69,75.50,Cerrado
298.90,76.00,Cerrado
299.11,76.00,Cerrado
299.30,76.00,Cerrado
299.51,75.50,Cerrado
299.72,76.00,Cerrado
299.93,76.25,Cerrado
300.13,76.00,Cerrado
300.33,75.75,Cerrado
300.53,76.00,Cerrado
300.73,75.50,Cerrado
300.93,76.25,Cerrado
301.14,76.00,Cerrado
301.35,76.25,Cerrado
301.54,76.50,Cerrado
301.75,76.00,Cerrado
301.96,76.50,Cerrado
302.17,76.25,Cerrado
302.36,76.75,Cerrado
302.55,76.25,Cerrado
302.76,76.50,Cerrado
302.96,76.50,Cerrado
303.17,77.00,Cerrado
303.36,76.75,Cerrado
303.57,76.75,Cerrado
303.78,76.75,Cerrado
303.99,77.00,Cerrado
304.18,77.00,Cerrado
304.39,76.50,Cerrado
304.60,77.00,Cerrado
304.79,77.25,Cerrado
305.00,76.75,Cerrado
305.20,77.00,Cerrado
305.41,77.00,Cerrado
305.60,77.00,Cerrado
305.81,77.50,Cerrado
306.02,77.25,Cerrado
306.23,77.50,Cerrado
306.42,77.00,Cerrado
306.63,76.50,Cerrado
306.83,77.50,Cerrado
307.04,77.00,Cerrado
307.25,77.00,Cerrado
307.46,77.25,Cerrado
307.65,77.50,Cerrado
307.86,77.75,Cerrado
308.07,77.75,Cerrado
308.27,77.50,Cerrado
308.47,77.75,Cerrado
308.67,77.75,Cerrado
308.88,77.75,Cerrado
309.07,77.75,Cerrado
309.27,78.00,Cerrado
309.47,78.00,Cerrado
309.68,77.75,Cerrado
309.89,77.75,Cerrado
310.08,78.00,Cerrado
310.29,78.00,Cerrado
310.50,77.75,Cerrado
310.70,78.25,Cerrado
310.90,78.25,Cerrado
311.10,78.00,Cerrado
311.31,78.00,Cerrado
311.50,78.00,Cerrado
311.71,78.50,Cerrado
311.92,78.25,Cerrado
312.13,78.25,Cerrado
312.32,78.25,Cerrado
312.53,78.75,Cerrado
312.74,78.25,Cerrado
312.93,78.50,Cerrado
313.14,78.75,Cerrado
313.34,78.50,Cerrado
313.54,78.75,Cerrado
313.74,78.75,Cerrado
313.95,78.50,Cerrado
314.14,78.75,Cerrado
314.35,78.50,Cerrado
314.56,78.50,Cerrado
314.75,78.75,Cerrado
314.96,78.75,Cerrado
315.18,78.50,Cerrado
315.39,78.75,Cerrado
315.61,78.75,Cerrado
315.82,78.75,Cerrado
316.01,79.25,Cerrado
316.22,79.00,Cerrado
316.43,79.00,Cerrado
316.62,79.25,Cerrado
316.83,79.00,Cerrado
317.02,79.00,Cerrado
317.23,78.75,Cerrado
317.44,79.00,Cerrado
317.65,78.75,Cerrado
317.84,79.25,Cerrado
318.05,79.25,Cerrado
318.25,79.00,Cerrado
318.45,79.25,Cerrado
318.65,79.75,Cerrado
318.86,79.75,Cerrado
319.07,79.50,Cerrado
319.26,79.75,Cerrado
319.47,79.75,Cerrado
319.68,80.00,Cerrado
319.87,79.50,Cerrado
320.08,79.50,Cerrado
320.28,79.75,Cerrado
320.48,79.75,Cerrado
320.68,80.00,Cerrado
320.89,80.00,Cerrado
321.08,79.75,Cerrado
321.29,80.00,Cerrado
321.50,80.00,Cerrado
321.71,80.25,Cerrado
321.92,80.25,Cerrado
322.11,80.00,Cerrado
322.32,80.25,Cerrado
322.52,80.25,Cerrado
322.71,80.50,Cerrado
322.91,80.25,Cerrado
323.11,80.50,Cerrado
323.32,80.75,Cerrado
323.51,80.25,Cerrado
323.72,80.75,Cerrado
323.93,80.50,Cerrado
324.14,80.25,Cerrado
324.33,80.75,Cerrado
324.54,80.25,Cerrado
324.75,81.00,Cerrado
324.95,80.75,Cerrado
325.15,80.50,Cerrado
325.35,80.75,Cerrado
325.56,81.25,Cerrado
325.75,81.00,Cerrado
325.96,81.50,Cerrado
326.17,81.50,Cerrado
326.36,81.50,Cerrado
326.57,81.00,Cerrado
326.78,81.25,Cerrado
326.98,81.50,Cerrado
327.19,81.75,Cerrado
327.38,81.00,Cerrado
327.59,81.50,Cerrado
327.80,81.25,Cerrado
327.99,81.25,Cerrado
328.20,81.75,Cerrado
328.41,81.75,Cerrado
328.60,81.75,Cerrado
328.81,81.75,Cerrado
329.02,82.00,Cerrado
329.22,81.50,Cerrado
329.43,82.25,Cerrado
329.62,81.50,Cerrado
329.83,82.25,Cerrado
330.04,82.50,Cerrado
330.23,82.50,Cerrado
330.44,82.25,Cerrado
330.65,82.50,Cerrado
330.84,82.50,Cerrado
331.05,82.50,Cerrado
331.24,82.50,Cerrado
331.45,82.50,Cerrado
331.65,82.25,Cerrado
331.86,82.75,Cerrado
332.05,82.50,Cerrado
332.26,83.00,Cerrado
332.47,83.00,Cerrado
332.66,83.00,Cerrado
332.87,83.00,Cerrado
333.08,83.00,Cerrado
333.27,82.75,Cerrado
333.48,83.25,Cerrado
333.69,83.25,Cerrado
333.89,83.25,Cerrado
334.10,83.25,Cerrado
334.29,83.25,Cerrado
334.50,83.00,Cerrado
334.71,83.50,Cerrado
334.90,83.50,Cerrado
335.11,83.25,Cerrado
335.32,83.00,Cerrado
335.53,83.25,Cerrado
335.73,83.75,Cerrado
335.92,83.25,Cerrado
336.13,83.25,Cerrado
336.34,83.75,Cerrado
336.53,83.50,Cerrado
336.74,84.00,Cerrado
336.95,84.00,Cerrado
337.16,84.00,Cerrado
337.35,84.00,Cerrado
337.56,84.00,Cerrado
337.76,84.25,Cerrado
337.97,84.25,Cerrado
338.16,84.25,Cerrado
338.37,84.25,Cerrado
338.58,84.25,Cerrado
338.77,84.25,Cerrado
338.98,84.00,Cerrado
339.19,84.00,Cerrado
339.39,84.50,Cerrado
339.59,84.50,Cerrado
339.79,84.50,Cerrado
340.00,84.25,Cerrado
340.21,84.25,Cerrado
340.40,85.00,Cerrado
340.59,84.50,Cerrado
340.80,84.50,Cerrado
341.01,84.75,Cerrado
341.22,85.00,Cerrado
341.43,85.00,Cerrado
341.62,85.00,Cerrado
341.83,85.00,Cerrado
342.03,85.00,Cerrado
342.24,85.00,Cerrado
342.43,85.00,Cerrado
342.64,85.25,Cerrado
342.85,84.75,Cerrado
343.04,85.25,Cerrado
343.23,85.50,Cerrado
343.44,85.00,Cerrado
343.65,85.50,Cerrado
343.86,85.00,Cerrado
344.05,85.25,Cerrado
344.26,85.75,Cerrado
344.46,85.75,Cerrado
344.67,85.50,Cerrado
344.86,85.50,Cerrado
345.07,86.00,Cerrado
345.28,85.75,Cerrado
345.49,85.75,Cerrado
345.68,85.75,Cerrado
345.89,86.00,Cerrado
346.10,86.00,Cerrado
346.29,86.25,Cerrado
346.50,86.25,Cerrado
346.70,85.75,Cerrado
346.90,86.25,Cerrado
347.10,86.00,Cerrado
347.31,86.25,Cerrado
347.52,86.00,Cerrado
347.71,86.25,Cerrado
347.92,86.25,Cerrado
348.13,86.50,Cerrado
348.32,86.50,Cerrado
348.53,86.50,Cerrado
348.73,86.25,Cerrado
348.94,86.75,Cerrado
349.13,86.75,Cerrado
349.34,86.75,Cerrado
349.55,86.50,Cerrado
349.76,86.00,Cerrado
349.95,86.75,Cerrado
350.16,87.00,Cerrado
350.37,87.00,Cerrado
350.56,86.75,Cerrado
350.77,86.75,Cerrado
350.97,86.75,Cerrado
351.18,86.50,Cerrado
351.37,87.25,Cerrado
351.58,87.50,Cerrado
351.79,87.00,Cerrado
351.98,87.50,Cerrado
352.19,87.50,Cerrado
352.40,87.50,Cerrado
352.60,87.25,Cerrado
352.78,87.50,Cerrado
353.00,87.50,Cerrado
353.21,87.75,Cerrado
353.41,87.50,Cerrado
353.61,88.00,Cerrado
353.82,87.25,Cerrado
354.03,87.75,Cerrado
354.22,87.75,Cerrado
354.43,87.75,Cerrado
354.64,87.75,Cerrado
354.84,87.75,Cerrado
355.04,88.00,Cerrado
355.24,88.00,Cerrado
355.45,88.25,Cerrado
355.66,88.00,Cerrado
355.85,88.00,Cerrado
356.06,88.25,Cerrado
356.27,87.75,Cerrado
356.47,88.25,Cerrado
356.67,88.25,Cerrado
356.88,88.25,Cerrado
357.08,88.25,Cerrado
357.27,88.50,Cerrado
357.48,88.50,Cerrado
357.67,88.50,Cerrado
357.88,87.75,Cerrado
358.09,88.50,Cerrado
358.30,88.50,Cerrado
358.49,88.75,Cerrado
358.70,88.25,Cerrado
358.91,88.75,Cerrado
359.10,88.75,Cerrado
359.31,88.50,Cerrado
359.51,89.00,Cerrado
359.72,89.00,Cerrado
359.91,88.50,Cerrado
360.12,89.00,Cerrado
360.33,89.00,Cerrado
360.52,89.00,Cerrado
360.73,88.75,Cerrado
360.94,89.25,Cerrado
361.15,89.00,Cerrado
361.34,88.75,Cerrado
361.54,89.25,Cerrado
361.75,89.25,Cerrado
361.94,89.50,Cerrado
362.15,89.50,Cerrado
362.36,89.50,Cerrado
362.55,89.00,Cerrado
362.76,89.25,Cerrado
362.97,89.25,Cerrado
363.18,89.50,Cerrado
363.37,89.50,Cerrado
363.58,89.00,Cerrado
363.78,89.25,Cerrado
363.99,90.00,Cerrado
364.18,89.25,Cerrado
364.39,89.25,Cerrado
364.60,90.00,Cerrado
364.79,89.75,Cerrado
364.98,89.75,Cerrado
365.19,89.75,Cerrado
365.40,90.25,Cerrado
365.61,90.00,Cerrado
365.80,90.25,Cerrado
366.01,89.50,Cerrado
366.21,90.00,Cerrado
366.41,90.50,Cerrado
366.62,90.00,Cerrado
366.82,90.25,Cerrado
367.01,90.25,Cerrado
367.22,90.25,Cerrado
367.43,90.50,Cerrado
367.64,90.50,Cerrado
367.85,90.75,Cerrado
368.05,90.50,Cerrado
368.25,90.75,Cerrado
368.45,90.25,Cerrado
368.66,90.25,Cerrado
368.87,90.75,Cerrado
369.06,90.25,Cerrado
369.27,90.75,Cerrado
369.48,90.75,Cerrado
369.67,90.75,Cerrado
369.88,90.50,Cerrado
370.08,90.75,Cerrado
370.28,91.00,Cerrado
370.48,91.00,Cerrado
370.69,90.50,Cerrado
370.88,91.00,Cerrado
371.09,91.25,Cerrado
371.28,90.75,Cerrado
371.49,91.25,Cerrado
371.70,91.50,Cerrado
371.89,91.00,Cerrado
372.10,91.50,Cerrado
372.31,91.50,Cerrado
372.52,91.75,Cerrado
372.72,91.00,Cerrado
372.92,91.50,Cerrado
373.12,91.25,Cerrado
373.33,91.75,Cerrado
373.54,91.75,Cerrado
373.73,91.25,Cerrado
373.94,91.25,Cerrado
374.13,91.75,Cerrado
374.34,92.00,Cerrado
374.53,92.25,Cerrado
374.75,92.00,Cerrado
374.96,92.00,Cerrado
375.14,92.00,Cerrado
375.35,92.00,Cerrado
375.55,92.00,Cerrado
375.76,92.00,Cerrado
375.95,92.00,Cerrado
376.16,92.00,Cerrado
376.37,92.25,Cerrado
376.56,92.25,Cerrado
376.77,91.75,Cerrado
376.98,92.00,Cerrado
377.17,92.00,Cerrado
377.38,92.00,Cerrado
377.59,91.50,Cerrado
377.79,92.50,Cerrado
377.99,92.75,Cerrado
378.19,92.75,Cerrado
378.40,92.50,Cerrado
378.61,92.75,Cerrado
378.80,92.75,Cerrado
379.01,93.00,Cerrado
379.22,93.00,Cerrado
379.41,92.75,Cerrado
379.62,92.50,Cerrado
379.82,92.50,Cerrado
380.02,92.50,Cerrado
380.22,92.75,Cerrado
380.43,92.50,Cerrado
380.62,93.00,Cerrado
380.83,93.25,Cerrado
381.04,93.50,Cerrado
381.25,93.25,Cerrado
381.44,93.25,Cerrado
381.65,93.25,Cerrado
381.86,93.25,Cerrado
382.06,93.25,Cerrado
382.26,93.25,Cerrado
382.46,93.25,Cerrado
382.67,93.50,Cerrado
382.88,93.50,Cerrado
383.07,93.75,Cerrado
383.28,93.50,Cerrado
383.49,93.50,Cerrado
383.69,93.25,Cerrado
383.89,93.75,Cerrado
384.09,93.25,Cerrado
384.30,93.25,Cerrado
384.51,93.25,Cerrado
384.72,93.75,Cerrado
384.91,93.75,Cerrado
385.12,94.00,Cerrado
385.33,94.25,Cerrado
385.53,94.00,Cerrado
385.73,94.00,Cerrado
385.93,94.00,Cerrado
386.14,93.50,Cerrado
386.35,94.25,Cerrado
386.54,94.25,Cerrado
386.75,94.25,Cerrado
386.96,94.00,Cerrado
387.15,94.25,Cerrado
387.36,94.25,Cerrado
387.56,94.25,Cerrado
387.76,94.50,Cerrado
387.96,94.50,Cerrado
388.17,94.50,Cerrado
388.36,94.25,Cerrado
388.57,94.00,Cerrado
388.78,94.25,Cerrado
388.97,94.50,Cerrado
389.18,94.75,Cerrado
389.39,94.50,Cerrado
389.58,94.75,Cerrado
389.79,94.50,Cerrado
390.00,94.50,Cerrado
390.20,95.00,Cerrado
390.40,95.25,Cerrado
390.60,95.25,Cerrado
390.81,94.75,Cerrado
391.00,95.00,Cerrado
391.21,95.00,Cerrado
391.42,95.00,Cerrado
391.61,95.00,Cerrado
391.84,95.00,Cerrado
392.03,95.25,Cerrado
392.23,94.75,Cerrado
392.44,95.25,Cerrado
392.65,95.25,Cerrado
392.84,95.50,Cerrado
393.05,95.25,Cerrado
393.26,95.25,Cerrado
393.45,95.50,Cerrado
393.66,95.50,Cerrado
393.87,95.75,Cerrado
394.06,95.50,Cerrado
394.27,95.25,Cerrado
394.47,95.75,Cerrado
394.67,95.75,Cerrado
394.87,95.25,Cerrado
395.08,95.75,Cerrado
395.29,95.75,Cerrado
395.48,96.00,Cerrado
395.69,96.25,Cerrado
395.90,96.00,Cerrado
396.09,96.25,Cerrado
396.30,96.00,Cerrado
396.50,96.00,Cerrado
396.71,96.00,Cerrado
396.89,96.50,Cerrado
397.10,96.25,Cerrado
397.30,96.25,Cerrado
397.51,96.25,Cerrado
397.70,96.25,Cerrado
397.91,96.50,Cerrado
398.12,96.75,Cerrado
398.33,96.75,Cerrado
398.52,96.50,Cerrado
398.73,96.50,Cerrado
398.94,96.75,Cerrado
399.13,96.25,Cerrado
399.34,96.75,Cerrado
399.54,97.00,Cerrado
399.74,96.50,Cerrado
399.94,96.75,Cerrado
400.15,96.75,Cerrado
400.34,96.75,Cerrado
400.55,97.00,Cerrado
400.76,97.00,Cerrado
400.97,97.00,Cerrado
401.16,97.00,Cerrado
401.37,97.25,Cerrado
401.57,97.00,Cerrado
401.78,97.25,Cerrado
401.99,97.00,Cerrado
402.21,97.25,Cerrado
402.39,97.25,Cerrado
402.60,97.50,Cerrado
402.81,97.50,Cerrado
403.00,97.25,Cerrado
403.21,97.50,Cerrado
403.41,97.50,Cerrado
403.62,97.50,Cerrado
403.81,97.25,Cerrado
404.04,97.25,Cerrado
404.24,97.25,Cerrado
404.44,97.50,Cerrado
404.64,97.50,Cerrado
404.87,97.50,Cerrado
405.06,97.50,Cerrado
405.27,98.00,Cerrado
405.48,97.50,Cerrado
405.67,97.75,Cerrado
405.88,97.75,Cerrado
406.08,98.00,Cerrado
406.28,97.75,Cerrado
406.48,98.00,Cerrado
406.69,98.00,Cerrado
406.92,98.00,Cerrado
407.11,98.25,Cerrado
407.31,98.25,Cerrado
407.52,98.00,Cerrado
407.72,98.25,Cerrado
409.76,98.00,Cerrado
409.84,98.75,Cerrado
409.99,98.75,Cerrado
410.19,98.75,Cerrado
410.39,98.75,Cerrado
410.59,98.50,Cerrado
410.80,98.75,Cerrado
410.99,98.75,Cerrado
411.20,98.50,Cerrado
411.41,99.00,Cerrado
411.62,98.75,Cerrado
411.81,99.25,Cerrado
412.02,98.75,Cerrado
412.23,99.00,Cerrado
412.42,99.00,Cerrado
412.62,99.00,Cerrado
413.33,99.25,Cerrado
413.52,99.50,Cerrado
413.74,99.50,Cerrado
413.92,99.50,Cerrado
414.46,99.25,Cerrado
414.54,99.25,Cerrado
414.75,99.75,Cerrado
414.96,99.75,Cerrado
415.52,99.50,Cerrado
415.58,99.50,Cerrado
415.76,99.50,Cerrado
415.97,100.00,Cerrado
416.18,100.00,Cerrado
416.37,99.75,Cerrado
416.58,100.00,Cerrado
417.07,100.00,Cerrado
417.18,100.00,Cerrado
417.39,100.00,Cerrado
417.60,100.25,Cerrado
418.13,100.00,Cerrado
418.21,100.00,Cerrado
418.41,100.50,Cerrado
418.61,100.50,Cerrado
419.17,100.50,Cerrado
419.29,100.50,Cerrado
419.44,100.50,Cerrado
419.65,100.50,Cerrado
