Tiempo (s),Temperatura (°C),Estado Servo
45.93,24.50,Cerrado
46.14,24.50,Cerrado
46.35,24.75,Cerrado
46.54,24.25,Cerrado
46.75,24.50,Cerrado
46.96,24.50,Cerrado
47.15,25.00,Cerrado
47.36,24.25,Cerrado
47.55,24.50,Cerrado
47.76,24.75,Cerrado
47.96,24.50,Cerrado
48.16,24.75,Cerrado
48.36,25.00,Cerrado
48.59,25.00,Cerrado
48.78,24.75,Cerrado
48.97,24.75,Cerrado
49.18,24.75,Cerrado
49.39,25.00,Cerrado
49.58,25.00,Cerrado
49.79,25.00,Cerrado
49.99,25.00,Cerrado
50.19,24.75,Cerrado
50.41,25.00,Cerrado
50.62,25.00,Cerrado
50.79,25.00,Cerrado
51.00,24.75,Cerrado
51.21,24.25,Cerrado
51.42,25.25,Cerrado
51.63,25.25,Cerrado
51.82,25.25,Cerrado
52.03,25.00,Cerrado
52.23,25.25,Cerrado
52.43,25.25,Cerrado
52.63,25.25,Cerrado
52.84,25.25,Cerrado
53.05,25.25,Cerrado
53.24,25.50,Cerrado
53.45,25.00,Cerrado
53.66,25.25,Cerrado
53.85,25.50,Cerrado
54.06,25.00,Cerrado
54.26,25.50,Cerrado
54.47,25.75,Cerrado
54.66,25.50,Cerrado
54.87,25.50,Cerrado
55.08,25.50,Cerrado
55.27,25.50,Cerrado
55.48,25.25,Cerrado
55.69,25.25,Cerrado
55.88,25.25,Cerrado
56.09,25.75,Cerrado
56.30,26.00,Cerrado
56.50,25.75,Cerrado
56.70,26.00,Cerrado
56.90,26.00,Cerrado
57.11,25.75,Cerrado
57.32,26.25,Cerrado
57.51,26.00,Cerrado
57.72,26.00,Cerrado
57.93,26.25,Cerrado
58.12,26.00,Cerrado
58.33,25.75,Cerrado
58.53,26.25,Cerrado
58.74,26.00,Cerrado
58.93,26.25,Cerrado
59.13,26.25,Cerrado
59.35,26.50,Cerrado
59.54,26.50,Cerrado
59.75,26.25,Cerrado
59.96,26.25,Cerrado
60.15,26.25,Cerrado
60.36,26.25,Cerrado
60.57,26.25,Cerrado
60.76,26.50,Cerrado
60.97,26.25,Cerrado
61.18,26.25,Cerrado
61.36,26.50,Cerrado
61.57,26.00,Cerrado
61.78,26.25,Cerrado
61.97,26.25,Cerrado
62.18,26.00,Cerrado
62.39,26.50,Cerrado
62.60,26.00,Cerrado
62.79,26.50,Cerrado
63.00,26.75,Cerrado
63.20,26.75,Cerrado
63.41,26.25,Cerrado
63.61,26.50,Cerrado
63.81,26.50,Cerrado
64.00,26.75,Cerrado
64.23,27.00,Cerrado
64.40,26.75,Cerrado
64.61,27.00,Cerrado
64.82,26.75,Cerrado
65.03,27.00,Cerrado
65.22,26.75,Cerrado
65.43,27.25,Cerrado
65.63,26.75,Cerrado
65.84,27.00,Cerrado
66.04,27.00,Cerrado
66.24,27.00,Cerrado
66.45,27.00,Cerrado
66.66,27.00,Cerrado
66.85,27.00,Cerrado
67.06,27.00,Cerrado
67.27,27.00,Cerrado
67.46,27.25,Cerrado
67.67,27.00,Cerrado
67.87,27.25,Cerrado
68.08,27.25,Cerrado
68.29,27.00,Cerrado
68.48,27.00,Cerrado
68.67,27.25,Cerrado
68.88,27.50,Cerrado
69.09,27.50,Cerrado
69.28,27.25,Cerrado
69.51,27.75,Cerrado
69.71,27.75,Cerrado
69.91,27.50,Cerrado
70.11,27.50,Cerrado
70.30,27.00,Cerrado
70.51,27.50,Cerrado
70.71,27.25,Cerrado
70.91,28.00,Cerrado
71.12,27.25,Cerrado
71.33,27.75,Cerrado
71.52,27.75,Cerrado
71.73,27.50,Cerrado
71.94,28.00,Cerrado
72.14,27.75,Cerrado
72.34,28.00,Cerrado
72.54,28.00,Cerrado
72.74,27.50,Cerrado
